emp_no,first_name,last_name,gender,birth_date,hire_date
13160,Shigeo,Gomatam,F,1958-05-09,1994-05-12
13188,Takahiro,Tsukune,M,1959-01-26,1988-01-14
13201,Tomofumi,Ranta,M,1961-12-15,1993-05-15
13235,Taizo,Remmers,F,1955-03-09,1991-05-07
13261,Martial,Peternell,M,1952-07-19,1993-08-12
13277,Cristinel,Wendorf,M,1961-05-05,1994-05-13
13283,Unal,Liedekerke,F,1962-02-15,1986-10-19
13285,Uinam,Lienhardt,M,1963-03-06,1990-03-13
13344,Gor,Armand,M,1960-07-31,1998-04-20
13365,Adly,Mandell,M,1956-05-13,1991-02-24
13387,Froduald,Tzvieli,M,1964-10-16,1987-12-05
13452,Marke,Nations,M,1958-04-02,1985-11-15
13478,Kristine,Bratsberg,F,1958-11-09,1987-10-26
13496,Dipankar,Lortz,F,1963-08-18,1990-01-31
13553,Masato,Cusworth,M,1958-02-10,1988-01-10
13557,Kwangsub,Eickenmeyer,F,1963-05-14,1993-05-07
13613,Juichirou,Antonakopoulos,F,1956-08-28,1996-12-30
13659,Mario,Panienski,F,1958-05-23,1992-03-07
13678,Odoardo,Birdsall,M,1960-07-18,1988-02-02
13835,Mahendra,Welham,M,1963-09-28,1990-04-16
13902,Greger,Kilgore,M,1954-04-20,1993-07-04
13921,Lidong,Soicher,F,1958-01-30,1992-10-26
13930,Sukumar,Chartres,M,1952-04-28,1985-11-26
13994,Tesuro,Remmele,M,1953-01-29,1996-12-04
13996,Adib,Pews,F,1952-03-05,1993-04-25
13996,Adib,Pews,F,1952-03-05,1993-04-25
14022,Fun,Luca,M,1961-08-21,1990-11-11
14062,Khalid,Luon,M,1964-12-16,1987-10-17
14108,Shmuel,Khasidashvili,F,1957-08-16,1994-02-10
14109,Vesna,Haldar,M,1954-08-28,1999-01-08
14176,Seshu,Thiran,M,1964-05-28,1998-01-10
14183,Jaques,McFarlan,F,1960-08-01,1988-09-01
14197,Adin,Chachaty,F,1955-08-25,1987-01-21
14208,Macha,Feinberg,M,1957-11-15,1989-07-05
14250,Vitaly,DeMori,M,1956-07-07,1993-04-20
14257,Kwok,Massonet,F,1952-05-07,1988-06-17
14275,Tristan,Aseltine,F,1953-08-29,1987-04-16
14297,Honglan,Yeung,M,1963-08-22,1987-09-14
14333,Alois,Pettey,F,1957-06-27,1986-01-15
14341,Giri,Kumaresan,F,1957-06-26,1989-11-22
14378,Lokesh,Poehlman,M,1961-05-27,1994-10-05
14395,Berni,Brizzi,M,1952-03-28,1991-08-06
14412,Waiman,McConalogue,M,1956-02-07,1985-06-17
14446,Francoise,Rosen,M,1953-02-24,1991-01-08
14464,Christoper,Binding,M,1963-02-28,1994-12-30
14466,Fumiko,Rande,F,1957-08-29,1986-11-25
14576,Wayne,Pelc,M,1962-04-29,1998-02-14
14615,Dinkar,Mitchem,M,1961-07-15,1994-05-24
14673,Dinkar,Pusterhofer,M,1957-08-22,1993-12-10
14682,Jamaludin,Lalonde,M,1960-11-19,1988-11-10
14719,Willard,Luga,M,1960-05-06,1987-10-09
14740,Tonny,Welham,F,1962-05-08,1985-12-26
14742,Hairong,Renear,F,1959-01-13,1992-06-25
14774,Gio,Sigstam,M,1954-10-05,1988-03-27
14806,Jaroslava,Perry,F,1955-12-18,1996-08-28
14816,Lijia,Hebden,M,1956-09-17,1990-02-12
14822,Indrajit,Shigei,F,1964-09-22,1985-05-22
14828,Christfried,Kropf,M,1955-09-27,1992-02-04
14880,Conrado,Michaeli,M,1953-11-18,1992-09-30
14889,Subhash,Solovay,M,1955-05-15,1995-10-05
14890,Akeno,Gonthier,M,1956-07-01,1987-06-26
14901,Paloma,Basawa,M,1959-02-20,1999-02-05
14913,Karlis,Fujisaki,F,1960-06-11,1986-01-15
14916,Fumino,Narlikar,M,1957-05-25,1999-04-01
14937,Duke,Angot,M,1961-02-17,1994-09-22
14948,Arumugam,Lanzelotte,M,1958-10-03,1995-10-27
14977,Elrique,Foote,F,1961-01-25,1985-04-29
14979,Steen,Marletta,F,1961-03-28,1988-10-04
15024,Yurii,Rullman,M,1955-03-06,1985-04-13
15070,Mani,Delgrossi,F,1960-06-01,1994-11-10
15076,Makato,Shobatake,F,1958-06-25,1989-06-28
15093,Alain,Kornyak,F,1961-04-17,1991-08-16
15123,Xuejia,Menhoudj,F,1953-08-01,1991-12-15
15151,Urs,Pouyioutas,F,1953-11-13,1987-07-24
15177,Kousuke,Luiz,M,1956-07-14,1989-04-29
15187,Gill,Heusch,M,1953-02-07,1997-04-25
15199,Heeju,Bernardinello,F,1953-08-11,1986-10-06
15200,Danco,Brickell,F,1953-11-04,1998-01-29
15212,Khosrow,Haldar,M,1964-08-12,1995-07-08
15221,Alselm,Kroha,M,1962-11-22,1993-10-16
15226,Navin,Levergood,F,1961-01-19,1988-04-13
15242,Kasturi,Strehl,M,1956-02-09,1988-02-04
15262,Premsyl,Wursthorn,M,1957-09-15,1987-09-24
15293,Pantung,Puppo,M,1964-04-29,1987-11-27
15317,Lubomir,Ratnaker,M,1959-04-18,1987-06-19
15333,Djelloul,Matzel,M,1958-05-09,1992-07-19
15338,Caolyn,Wilfing,F,1959-01-19,1986-06-24
15388,Heekeun,Spelt,M,1953-10-01,1994-11-12
15401,Limsoon,Denis,F,1964-05-31,1994-07-07
15421,Yaghout,Papadias,F,1959-06-20,1995-04-10
15439,Shuzo,Gide,M,1952-11-24,1998-05-04
15439,Shuzo,Gide,M,1952-11-24,1998-05-04
15445,Sachem,Auyong,M,1953-04-24,1996-12-30
15450,Ugo,Salverda,M,1958-08-27,1999-06-14
15463,Make,Gunderson,M,1953-04-24,1996-04-21
15471,Olivera,Krybus,M,1958-02-13,1986-07-03
15499,Tetsushi,Simkin,F,1958-08-17,1990-04-24
15527,Ronghao,Falck,F,1962-02-21,1994-07-12
15527,Ronghao,Falck,F,1962-02-21,1994-07-12
15596,Bedir,Baba,M,1961-11-22,1999-01-09
15623,Vishu,Falby,M,1955-04-03,1985-09-23
15631,Rafols,Petereit,M,1959-02-05,1989-06-03
15640,Heejo,Luce,M,1961-04-22,1990-10-16
15652,Tokuyasu,Sundgren,F,1960-04-25,1985-11-27
15653,Kiam,Nannarelli,M,1953-11-08,1996-08-07
15675,Mountaz,Chinen,M,1954-04-11,1996-12-04
15694,Leucio,Ibel,F,1963-02-10,1992-01-28
15698,Udo,Michaels,F,1959-07-16,1991-08-25
15747,Remmert,Waleschkowski,M,1955-01-14,1990-11-06
15801,Munir,Slaats,M,1960-10-02,1988-08-08
15828,Tiina,Schaap,F,1962-10-18,1990-08-22
15842,Miyeon,Weedon,F,1952-03-22,1991-03-16
15885,Perla,Delgrossi,M,1955-09-19,1989-12-17
15943,Yakkov,Demke,M,1953-12-31,1986-10-18
16139,Susanne,Thorelli,F,1962-06-27,1996-03-14
16142,Berry,Porenta,M,1954-04-21,1996-11-19
16200,Eldridge,Aloia,M,1962-12-28,1996-08-22
16280,Henk,Peot,M,1952-07-29,1992-01-22
16298,Anneke,Asrin,F,1964-08-11,1990-02-07
16330,Dannz,Erman,M,1958-06-29,1987-09-11
16331,Giap,Garnham,M,1953-03-30,1985-12-25
16340,Tristan,Riesenhuber,M,1957-03-26,1995-12-15
16381,Phuoc,Naumovich,M,1954-09-25,1996-01-13
16396,Guangming,Yoshimura,M,1953-10-16,1987-09-14
16399,Apostol,Collette,F,1954-06-04,1988-07-12
16402,Salvador,Spell,M,1964-07-19,1989-07-27
16410,Eberhardt,Biron,F,1956-01-29,1997-01-24
16428,Arun,Chinin,F,1964-09-05,1990-04-25
16447,Zhiguo,Savasere,F,1952-02-03,1987-04-28
16492,Genki,Lamparter,M,1959-08-27,1987-12-31
16500,Elvis,Servieres,M,1953-02-02,1985-07-15
16502,Brigham,Honiden,M,1962-12-13,1987-08-14
16509,Girolamo,Bain,F,1956-02-04,1989-03-05
16547,Qunsheng,Ladret,F,1956-04-11,1985-03-13
16561,Zorica,Swan,F,1960-04-01,1988-11-23
16569,Henk,Cyre,M,1955-12-26,1994-12-24
16572,Matt,Aamodt,M,1956-11-26,1987-06-16
16594,Kazuhira,Azulay,M,1960-07-05,1994-11-02
16596,Valeri,Wrigley,M,1962-01-23,1994-04-10
16637,Mana,Mattern,F,1964-02-19,1990-06-13
16662,Poorav,Hatcliff,M,1955-09-07,1995-05-26
16684,Jaroslava,Swiler,F,1963-07-18,1986-04-30
16728,Hongzue,Vitiello,M,1957-10-06,1989-07-06
16786,Irene,Candan,M,1955-11-23,1994-03-03
16874,Arunas,Asmuth,F,1963-03-24,1986-09-28
16893,Tomoyuki,Dratva,M,1962-01-11,1986-11-18
16905,Aleksandar,Christianini,M,1960-01-02,1993-08-03
16906,Junichi,Halloran,M,1957-06-19,1991-02-15
16929,Murthy,Burnard,F,1954-03-02,1987-05-19
16962,Sastry,Kaiser,F,1955-01-17,1991-01-15
16996,Shigenori,Millington,F,1952-04-10,1988-12-15
17015,Piyush,Suessmith,M,1958-06-04,1995-06-27
17040,Kazuhisa,Bhattacharjee,M,1954-04-04,1989-08-10
17052,Lucian,Asser,F,1957-11-04,1986-10-14
17065,Bader,Spelt,M,1956-11-27,1993-07-16
17167,Satyanarayana,Trachtenberg,F,1958-09-23,1988-03-06
17175,Tokuyasu,Kroft,M,1964-12-18,1994-01-21
17247,Lunjin,Muntz,M,1956-10-03,1987-03-05
17250,Tianruo,Molenkamp,F,1962-08-07,1985-10-28
17257,Morris,Peng,F,1960-12-30,1991-06-17
17334,Ayonca,Luby,M,1952-11-27,1990-12-25
17351,Zhigen,Boissier,M,1961-12-25,1990-08-18
17358,Masami,Plotkin,F,1964-09-19,1995-12-13
17362,Ibibia,Plavsic,M,1956-06-14,1989-03-17
17369,Yaghout,Kenevan,M,1965-01-31,1991-02-09
17380,Giao,Lamma,M,1961-09-02,1986-07-05
17439,Aemilian,Basagni,F,1953-09-26,1991-09-11
17446,Phule,Kroon,M,1957-03-20,1988-02-11
17456,Peer,Taneja,F,1962-01-02,1988-02-16
17512,Frederique,Hofmeyr,F,1953-09-24,1986-06-05
17521,Vitaly,Etalle,M,1960-04-22,1992-04-02
17533,Xuejia,Perin,M,1964-11-25,1993-02-08
17540,Toshimori,Chiodo,M,1958-08-09,1996-05-19
17546,Claudi,Naudin,M,1960-08-17,1989-08-13
17551,Mark,Foote,F,1954-02-21,1998-10-04
17553,Toshimitsu,Bamford,F,1962-12-02,1987-02-08
17565,Mihalis,Petersohn,F,1958-05-21,1995-08-02
17601,Christfried,Dredge,M,1960-02-05,1997-01-04
17603,Shin,Ulupinar,M,1952-05-01,1990-08-11
17625,Prodip,Mandelberg,F,1955-10-31,1987-12-28
17640,Sakthirel,Zastre,F,1964-11-24,1986-08-07
17653,Qingxiang,Erva,M,1960-10-22,1994-03-20
17675,Sajjan,Keirsey,F,1954-08-14,1993-03-13
17681,Eran,Schauser,M,1952-11-12,1985-09-25
17683,Bernt,Henders,F,1954-06-04,1987-02-25
17760,Marjo,Krichel,F,1959-09-12,1986-08-04
17801,Taegyun,Alvarado,F,1955-09-09,1989-07-07
17804,Henk,Demian,F,1961-02-27,1988-06-15
17813,Gita,Suppi,F,1953-07-17,1992-12-08
17820,Florina,Biran,M,1964-12-09,1989-06-14
17875,Zhenhua,Turnbull,M,1960-05-20,1997-03-07
17981,Cordelia,Rande,F,1954-05-25,1997-04-30
18015,Zhaofang,Munck,M,1960-07-16,1991-10-29
18086,Brewster,Szmurlo,M,1953-10-10,1988-08-11
18100,Danai,Brlek,F,1960-04-10,1985-04-27
18129,Taizo,Streng,F,1956-12-06,1988-06-06
18138,Moni,Baezner,M,1954-06-19,1985-08-05
18148,Annemarie,Remmele,F,1956-12-25,1997-11-30
18202,Changho,Bain,M,1955-08-20,1990-01-04
18206,Werner,Yamaashi,M,1963-11-07,1992-02-20
18301,Martins,Hartvigsen,F,1958-11-29,1988-05-28
18314,Arunas,Erol,M,1956-10-15,1991-08-24
18314,Arunas,Erol,M,1956-10-15,1991-08-24
18332,Nidapan,Cichocki,M,1962-01-31,1997-11-19
18379,Xuedong,Bail,M,1954-06-19,1991-03-09
18403,Vidya,Morrow,F,1952-07-05,1985-11-18
18418,Cheong,Vickson,F,1952-09-25,1992-02-14
18444,Gopalakrishnan,Schiettecatte,F,1960-08-19,1985-03-12
18451,Neven,Ecklund,M,1956-08-30,1993-01-20
18508,Xiping,Swift,F,1962-01-09,1988-07-04
18543,Bernice,Rosin,F,1958-03-03,1993-12-28
18590,Vasiliy,Laurillard,F,1963-09-24,1985-08-04
18605,Jeong,Rodier,M,1954-11-23,1990-05-21
18653,Barun,Orlowski,F,1958-04-10,1985-06-06
18733,Keiichiro,Zaumen,F,1961-12-16,1989-02-02
18759,Keung,Malabarba,M,1954-11-17,1989-06-26
18762,Bedrich,Staelin,M,1954-09-07,1994-12-19
18813,Jeane,Heystek,M,1961-01-28,1989-09-12
18823,Arie,Bojadziev,M,1953-07-26,1996-08-25
18832,Pasqua,DiGiano,M,1953-12-30,1986-06-04
18836,Chaitali,Heemskerk,M,1957-05-26,1994-09-16
18866,Fumiyo,Hettesheimer,M,1954-03-10,1988-12-27
18876,Youssef,Pepe,F,1961-05-20,1993-09-30
18877,Marsha,Luca,F,1963-10-14,1987-08-05
18920,Sergi,Demizu,M,1957-03-05,1988-02-06
18939,Nathalie,Linares,M,1956-09-12,1996-07-24
18941,Billie,Gire,M,1961-02-10,1985-09-25
19045,Gio,Zaccaria,F,1964-05-19,1992-03-27
19149,Huican,Krogh,F,1962-06-02,1987-09-14
19157,Percy,Milicic,M,1953-05-16,1989-08-03
19194,Uta,Pramanik,M,1954-03-22,1985-11-19
19196,Leucio,Sury,M,1956-08-10,1988-09-03
19217,Rasikan,Raoux,M,1962-07-19,1987-03-25
19249,Saniya,Iivonen,M,1953-08-26,1988-03-27
19272,Kauko,Rusterholz,F,1956-04-19,1992-05-21
19276,Stamatina,Docker,M,1963-02-10,1996-01-01
19280,Kwangjo,dAstous,F,1959-01-22,1989-02-16
19300,Khalil,Keustermans,M,1956-03-18,1985-08-03
19356,Masato,Prenel,F,1953-07-01,1985-12-29
19370,Arto,Bratten,M,1959-10-29,1992-01-23
19423,Yongmao,Remmers,F,1957-02-25,1998-06-14
19445,Xinglin,Gecsel,M,1952-07-29,1987-03-31
19447,Susanna,Muniz,M,1960-12-07,1988-02-19
19495,Frederique,Naudin,F,1959-09-28,1988-03-29
19537,Shem,Uludag,F,1963-07-25,1989-06-10
19539,Premsyl,Ramsak,M,1962-04-30,1993-03-07
19578,Gen,Gomatam,M,1958-08-09,1992-02-13
19627,Mountaz,Erdi,F,1954-12-16,1994-07-26
19640,Tonny,Francisci,M,1953-04-01,1988-08-22
19668,Goa,Kolinko,M,1952-05-04,1992-10-28
19706,Phillip,Sichman,F,1953-05-13,1996-05-05
19713,Miyeon,Serot,M,1952-09-07,1990-10-30
19725,Yurij,Matzke,F,1952-03-30,1992-07-08
19823,Wuxu,Liedekerke,F,1963-11-12,1986-02-01
19827,Chriss,Bojadziev,F,1963-02-02,1992-11-10
19908,Theron,Koshino,M,1956-10-10,1998-08-22
19920,Toshimo,Ranum,M,1958-07-04,1991-02-14
19945,Kish,Akiyama,M,1958-08-23,1994-02-16
19995,Ziyad,Schueller,F,1962-12-31,1990-08-25
20036,Jaber,Katiyar,M,1963-01-19,1986-08-14
20036,Jaber,Katiyar,M,1963-01-19,1986-08-14
20038,Tremaine,Gente,M,1962-04-02,1992-08-31
20054,Gurbir,Bail,M,1958-01-06,1986-05-14
20138,Otilia,Willoner,M,1962-12-29,1991-08-03
20164,Katsuyuki,Coney,M,1952-02-13,1997-04-16
20203,Huai,Marzano,F,1959-03-03,1989-07-05
20219,Toshimitsu,Laurillard,F,1956-10-20,1991-05-20
20239,Tua,Heystek,M,1954-10-08,1994-10-13
20247,Fatemeh,Montresor,F,1963-04-10,1985-03-01
20277,Sasan,Heiserman,M,1956-04-30,1991-09-28
20293,Uta,Journel,F,1961-01-27,1986-01-11
20338,Reinhard,Butner,F,1953-06-12,1988-07-14
20348,Narain,Bressoud,M,1953-03-07,1994-05-08
20406,Keiichiro,Heydon,F,1959-09-04,1996-06-14
20440,Genki,Fabrizio,M,1952-02-10,1988-11-20
20443,Mong,Pargaonkar,F,1959-03-31,1989-12-08
20472,Jiann,Murtagh,F,1957-10-10,1985-03-31
20481,Marsja,Pokrovskii,F,1961-09-17,1990-10-02
20522,Tsutomu,Ranum,M,1959-01-18,1997-03-12
20536,Alselm,Vitiello,F,1958-04-10,1987-04-28
20538,Gro,Hebert,M,1953-11-24,1988-01-08
20581,Marl,Baez,F,1963-10-23,1989-03-20
20593,Bezalel,Gils,F,1964-02-28,1991-06-01
20594,Zhongwei,Bazelow,M,1959-07-08,1993-04-06
20648,Menkae,Noriega,M,1956-11-15,1985-11-09
20662,Panayotis,Lung,F,1952-02-09,1993-07-09
20685,Bingning,Rissanen,M,1957-03-21,1989-10-23
20721,Tru,Iisaku,F,1952-05-08,1991-08-27
20804,Toshimori,Lunn,M,1954-03-09,1994-12-26
20823,Sham,Impagliazzo,F,1963-11-04,1993-02-12
20963,Xiping,Fortenbacher,M,1959-07-20,1992-05-15
20993,Atreyi,Rabejac,F,1961-12-25,1988-10-07
21005,Stepehn,Demizu,F,1963-11-05,1992-03-03
21123,Aral,Lienhardt,M,1960-03-30,1992-07-15
21155,Yifei,Benveniste,M,1964-03-05,1996-03-06
21162,Youjian,Nivat,M,1953-06-29,1994-02-11
21191,Jacopo,Rusterholz,M,1964-01-06,1986-07-20
21225,Mana,Horswill,M,1963-02-19,1988-11-22
21237,Padma,Matzen,M,1959-05-27,1989-01-16
21237,Padma,Matzen,M,1959-05-27,1989-01-16
21269,Sanjay,Olivero,M,1956-05-31,1999-06-11
21278,Katsuo,Botman,F,1964-07-16,1992-09-05
21324,Subhankar,Toyoshima,M,1962-06-01,1985-02-10
21360,Hironoby,Nyrup,F,1952-12-24,1991-08-13
21376,Jingling,Cools,M,1955-09-21,1993-10-13
21381,Ingemar,Cooke,F,1961-08-26,1994-05-30
21382,Shuji,Asrin,F,1964-10-27,1988-12-26
21384,Fumiya,Suermann,M,1960-08-11,1987-09-27
21411,Fox,Pouyioutas,M,1962-07-24,1996-12-23
21482,Weidon,Journel,F,1963-07-16,1992-05-05
21504,Yuqun,Rossi,F,1962-02-19,1990-04-24
21508,Theirry,Poupard,F,1963-02-27,1988-08-18
21517,Etsuo,Jervis,M,1957-02-04,1993-03-23
21529,Bojan,Zallocco,M,1959-05-19,1986-10-14
21549,Cordelia,Magliocco,F,1954-01-05,1997-06-17
21555,Uinam,Biron,F,1953-06-28,1986-08-19
21560,Kyoichi,Dechter,M,1953-09-28,1985-11-19
21597,Masami,Pezzoli,F,1954-10-26,1988-07-03
21715,Shawna,Skrikant,M,1952-05-13,1988-10-03
21725,Hyuncheol,Calkin,M,1954-02-23,1985-04-19
21814,Leucio,Awdeh,M,1958-10-14,1987-03-14
21837,Heejo,Sabnani,F,1959-07-07,1995-10-07
21842,Ulises,Christianini,F,1961-09-27,1994-09-29
21892,Stevo,Bratsberg,F,1958-02-24,1986-11-24
22014,Stamatina,Prampolini,F,1959-09-03,1988-05-16
22040,Moriyoshi,Luef,M,1962-02-25,1995-06-08
22049,Ugo,Klerer,M,1961-08-19,1991-11-27
22107,Koldo,Atrawala,M,1958-09-14,1995-05-20
22137,Doohun,Gomatam,M,1955-09-02,1996-02-06
22227,Uri,Castellani,M,1964-02-27,1994-02-22
22243,Hidefumi,Neiman,M,1956-06-06,1990-03-17
22252,Patricio,Karner,F,1963-10-31,1994-07-22
22285,Dharmaraja,Talmon,M,1958-07-02,1989-08-29
22289,Chenye,Verhaegen,F,1956-05-09,1990-02-28
22310,Sahrah,Sinitsyn,M,1952-10-09,1988-09-30
22319,Syozo,Biron,M,1958-11-22,1986-09-06
22346,Jingling,Kragelund,M,1958-04-08,1996-10-26
22385,Wuxu,Paludetto,M,1952-07-11,1992-08-29
22414,Khaled,Stentiford,F,1952-11-14,1996-04-16
22453,Ottavia,Pauthner,M,1953-09-28,1995-12-16
22466,Stamatina,Menhardt,F,1955-04-10,1992-08-10
22505,Moriyoshi,Koblitz,F,1957-06-13,1990-10-29
22535,Alejandra,Chachaty,M,1952-12-12,1985-12-15
22544,Shawna,Rousseau,M,1957-09-11,1992-12-16
22579,Toshiki,Rabehasaina,F,1956-10-06,1988-06-03
22619,Munenori,Lorch,M,1953-12-21,1991-03-16
22642,Houman,Leonhardt,F,1959-09-13,1987-10-04
22661,Faiza,Curless,M,1958-11-05,1995-03-15
22690,Kristinn,Erol,F,1958-04-05,1998-06-24
22706,Paris,Lung,M,1961-09-19,1989-04-01
22737,Willard,Szemeredi,M,1959-05-23,1986-08-11
22740,Koichi,Gelosh,F,1955-06-26,1988-10-24
22830,Hilary,Buchter,M,1960-07-30,1995-05-07
22868,Jinxi,Roisin,F,1955-04-04,1994-02-17
22886,Gudjon,Templeman,F,1955-01-02,1988-11-15
22899,Shahar,Vandervoorde,F,1956-10-06,1989-03-07
22965,Sariel,Dulin,M,1956-11-20,1989-04-12
23064,Srinidhi,Sadowski,F,1956-02-11,1991-06-20
23073,Heng,Giveon,M,1955-11-18,1990-06-22
23079,Josyula,Mahmud,M,1958-08-28,1990-06-10
23146,Collette,Chvatal,M,1962-10-27,1988-03-28
23174,Brewster,Frolund,M,1957-06-14,1987-11-15
23184,Barry,Zielinski,F,1955-02-16,1993-03-11
